E.1,/Users/harpo/Desktop/Cesar and Rubin/Audio & Video/Cesar and Ruben Qlab Oct-2011/video/E.1 Brown Is Beautiful.jpg,- STILL: Chicano Moratorium ,00:00.000,00:00.000,00:00.000,auto-continue,,PG 9
,E.1 - STILL: Chicano Moratorium ,FADE IN: Current,00:00.000,00:04.000,00:00.000,auto-continue,,
,E.1 - STILL: Chicano Moratorium ,ANIMATE: Current,00:02.000,00:15.000,00:00.000,,,
13,,"Crossfade to ""Walking, facing things head on""",00:00.000,00:01.000,00:00.000,,,
,,"Walking, facing things head on",00:00.000,00:00.000,00:00.000,,,
," ""Behind, I leave it all behind""","fade and stop ""Behind, I leave it all behind""",00:00.000,00:01.000,00:00.000,,,
," ""Walking, facing things head on""","fade ""Walking, facing things head on""",00:00.000,00:01.000,00:00.000,,,
14,,"Crossfade to ""Maybe I won’t return, ever""",00:00.000,00:01.000,00:00.000,auto-continue,,
,,"Maybe I won’t return, ever",00:00.000,00:00.000,00:00.000,,,
," ""Walking, facing things head on""","fade and stop ""Walking, facing things head on""",00:00.000,00:01.000,00:00.000,,,
," ""Maybe I won’t return, ever""","fade ""Maybe I won’t return, ever""",00:00.000,00:01.000,00:00.000,,,
E.2,/Users/harpo/Desktop/Cesar and Rubin/Audio & Video/Cesar and Ruben Qlab Oct-2011/video/E.2 ArmedPolice@Bar:Danceclub.JPG,- STILL: LA Sheriff Kneeling with Tear Gas Gun,00:00.000,00:00.000,00:00.000,auto-continue,,PG 9
,E.1 - STILL: Chicano Moratorium ,FADE OUT: Previous,00:00.000,00:04.000,00:00.000,auto-continue,,
,E.2 - STILL: LA Sheriff Kneeling with Tear Gas Gun,FADE IN: Current,00:00.000,00:04.000,00:00.000,auto-continue,,
,E.2 - STILL: LA Sheriff Kneeling with Tear Gas Gun,ZOOM IN: Current,00:02.000,00:15.000,00:00.000,,,
15,,Crossfade to Tomorrow brings what it brings,00:00.000,00:01.000,00:00.000,,,
,,Tomorrow brings what it brings,00:00.000,00:00.000,00:00.000,,,
," ""Maybe I won’t return, ever""","fade and stop ""Maybe I won’t return, ever""",00:00.000,00:01.000,00:00.000,,,
, Tomorrow brings what it brings,fade Tomorrow brings what it brings,00:00.000,00:01.000,00:00.000,,,
16,,"Crossfade to ""Whatever will be, will be""",00:00.000,00:01.000,00:00.000,,,
,,"Whatever will be, will be",00:00.000,00:00.000,00:00.000,,,
, Tomorrow brings what it brings,fade and stop Tomorrow brings what it brings,00:00.000,00:01.000,00:00.000,,,
," ""Whatever will be, will be""","fade ""Whatever will be, will be""",00:00.000,00:01.000,00:00.000,,,
17,,Crossfade to At the end of the story,00:00.000,00:01.000,00:00.000,,,
,,At the end of the story,00:00.000,00:00.000,00:00.000,,,
," ""Whatever will be, will be""","fade and stop ""Whatever will be, will be""",00:00.000,00:01.000,00:00.000,,,
, At the end of the story,fade At the end of the story,00:00.000,00:01.000,00:00.000,,,
18,,Crossfade to Everything ends where it begins,00:00.000,00:01.000,00:00.000,auto-continue,,
,,Everything ends where it begins,00:00.000,00:00.000,00:00.000,,,
, At the end of the story,fade and stop At the end of the story,00:00.000,00:01.000,00:00.000,,,
, Everything ends where it begins,fade Everything ends where it begins,00:00.000,00:01.000,00:00.000,,,
,,/unmute/choir,00:00.000,00:00.000,00:00.000,,,
,,/mix/choir #v#,00:00.000,00:00.500,00:00.000,,,
,,/eos/cue/15/fire,00:00.000,00:00.000,00:00.000,,,
19,,"Crossfade to ""To the horizon, without direction""",00:00.000,00:01.000,00:00.000,auto-continue,,
,,"To the horizon, without direction",00:00.000,00:00.000,00:00.000,,,
, Everything ends where it begins,fade and stop Everything ends where it begins,00:00.000,00:01.000,00:00.000,,,
," ""To the horizon, without direction""","fade ""To the horizon, without direction""",00:00.000,00:01.000,00:00.000,,,
E.4,/Users/harpo/Desktop/Cesar and Rubin/Audio & Video/Cesar and Ruben Qlab Oct-2011/video/shot2_v11_h264.mov,VIDEO: Event Horizon,00:04.000,01:15.000,00:00.000,auto-continue,,PG 10
,E.4 VIDEO: Event Horizon,FADE IN: Current,00:00.000,00:03.000,00:00.000,,,
," ""To the horizon, without direction""","fade and stop ""To the horizon, without direction""",00:00.000,00:01.000,00:00.000,auto-continue,,
,,/eos/cue/16/fire,00:02.000,00:00.000,00:00.000,auto-follow,,
,E.2 - STILL: LA Sheriff Kneeling with Tear Gas Gun,FADE OUT: Previous,00:00.000,00:04.000,00:00.000,auto-continue,,
,E.4 VIDEO: Event Horizon,FADE OUT: Event Horizon,00:00.000,00:05.000,00:05.000,auto-follow,,PG 10
,,/mix/fx #v#,00:02.000,00:00.500,00:00.500,auto-follow,,
,,/mix/choir #v#,00:00.000,00:00.500,00:00.500,auto-follow,,
